n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
1,true,1.0,-34620.29386659764,194761.032357723,-76818.65096201526,-76818.65096201526,1,false,0.00625,0.00625,true
1,true,0.0,-34620.29386659764,34654.71115526398,0.0,2.4363498448070062e13,0,true,0.08990943809860488,0.08990943809860488,true
1,true,0.0,-34620.29386659764,34658.89842080784,0.0,14329.222599151159,0,true,0.015194795902138385,0.015194795902138385,true
31,true,1.0,-10981.304292280947,34424.392787657795,-233.92647819899867,-233.92647819899867,5,false,0.0014986962846151905,0.0014986962846151905,true
7,true,1.0,-10537.013381506946,11012.718322064467,-2.7811952066276717,-3.764151152812701,3,false,0.0020270775559247185,0.0020270775559247185,true
7,true,1.0,-9669.338504354917,10579.092792617022,-5.175656618990615,-5.175656618990615,3,false,0.0031700348665571728,0.0031700348665571728,true
3,true,1.0,-9147.614119556212,9701.899498539355,-3.949227119845091,-3.949227119845091,2,false,0.0053961018537726215,0.0053961018537726215,true
15,true,1.0,-3012.830984485029,9118.311837172972,-60.64530449524864,-60.64530449524864,4,false,0.009655979840182233,0.009655979840182233,true
7,true,1.0,-2570.6844085581374,3037.3299746048897,-7.633723132284558,-7.633723132284558,3,false,0.017780241890494236,0.017780241890494236,true
7,true,0.9202408758940237,-2419.865239942851,2606.819451288952,-4.198164060373074,-4.657608525013984,3,false,0.03323447063316064,0.03323447063316064,true
15,true,1.0,-2403.3787795089206,2456.3521318794787,-3.639518768337439,-3.639518768337439,3,false,0.04856708608313869,0.04856708608313869,true
5,true,0.0014173967508110496,-2403.3787795089206,2444.038838771057,0.0,4208.703968118167,2,true,0.09137484687392058,0.09137484687392058,true
127,true,0.998475522441805,-2401.587900588833,2441.731667052184,-0.01308890737072943,-0.050449761356958334,6,false,0.007381258307335417,0.007381258307335417,true
127,true,0.9961460576890833,-2391.048143119222,2439.140229297485,-0.06871502183958,-0.19166163995396346,6,false,0.013882933633572223,0.013882933633572223,true
95,true,0.9526514707709234,-2398.6439235834696,2432.480420940232,0.22375024074744942,0.4319839446061451,6,false,0.02580358845202869,0.02580358845202869,true
63,true,0.8921714638943445,-2386.880353376583,2439.7584334345493,-0.8839018343369389,-1.1895199025971124,5,false,0.04164016123476253,0.04164016123476253,true
