n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
1,true,0.0,-1727.2405192798776,1820.1317305170057,0.0,1.5952057131501062e7,0,true,0.2,0.2,true
1,true,0.0,-1727.2405192798776,1808.5554415753063,0.0,4.924978676246525e31,0,true,0.46701295818182675,0.46701295818182675,true
63,true,0.939935387037143,-1456.088981056382,1766.702688864796,-50.18093105880121,-50.18093105880121,6,false,0.04604716941709932,0.04604716941709932,true
15,true,1.0,-1368.5591633769654,1542.88279848279,-14.903699794905151,-16.716807149629176,4,false,0.04086515331244156,0.04086515331244156,true
15,true,0.06666884711869742,-1336.9140189388147,1458.494308151316,-6.326266875099691,36.78870566444516,4,false,0.05463735744479312,0.05463735744479312,true
511,true,0.9999965240867374,-1236.325998212476,1436.3624886554865,-0.03761197086214452,-0.06938682030454402,9,false,0.005247462054655026,0.005247462054655026,true
255,true,0.9999856204935414,-1180.1837952451133,1333.8598841528508,-0.025934594876616757,-0.05225018047076446,8,false,0.008246271429864631,0.008246271429864631,true
255,true,0.9999295218406024,-1161.0914868743434,1266.7148540666035,-0.08994812412288411,-0.13384720926342197,7,false,0.014029549447591149,0.014029549447591149,true
63,true,0.9144370734753882,-1131.1845115152396,1258.3531602131043,-0.08599488512822973,0.30562278166416945,6,false,0.025068308331343117,0.025068308331343117,true
63,true,0.9541102499614917,-1078.7564646904273,1205.7134552782677,-0.09404180719025135,-0.6606864034745286,6,false,0.035226779976301296,0.035226779976301296,true
31,true,0.3378038529687303,-1070.2887522132137,1178.3495805384516,-3.020323663494082,800.2025800034785,5,false,0.05702786589577817,0.05702786589577817,true
127,true,0.970847153262053,-1061.0847822993258,1156.6861963779834,0.04110486135391511,-0.1430642199986778,7,false,0.013298365434951148,0.013298365434951148,true
63,true,0.949361620898857,-1036.4498376164993,1142.5476709737434,-0.4036101650981436,-1.6495397373471405,6,false,0.023121408992644314,0.023121408992644314,true
4,true,0.04883052550829066,-1036.4498376164993,1118.6033363858342,0.0,1138.8052411866338,2,true,0.0376662077288359,0.0376662077288359,true
511,true,0.9999015439306861,-1036.1957956526721,1119.4043920395707,0.0005570583693952358,-0.019555761611854905,9,false,0.0037002116918958623,0.0037002116918958623,true
255,true,0.9921839673380501,-1033.5717787974636,1127.3766323019236,0.021683978008695703,-0.06296899302560632,8,false,0.007152345497418568,0.007152345497418568,true
127,true,0.9818230407060028,-1033.1775437557474,1128.8629417205168,-0.11924953083689616,-0.24318276461258392,7,false,0.013434158110716278,0.013434158110716278,true
63,true,0.9973832286348443,-1012.6574955603332,1111.0306342099714,-0.6314839015053622,-0.6918154856791716,6,false,0.024291859157552474,0.024291859157552474,true
4,true,0.07819994735658004,-1012.6574955603332,1098.95582987127,0.0,3321.6406435507206,2,true,0.045719380892767295,0.045719380892767295,true
255,true,0.9981050137797424,-1027.9620594003097,1110.3000060702584,0.0029466516532465903,0.007875307483573124,8,false,0.00538175788396484,0.00538175788396484,true
127,true,0.9722774742009819,-1013.5414973077121,1105.3043053397114,0.03080120390063712,0.0823365552435007,7,false,0.010199111594540296,0.010199111594540296,true
191,true,0.992355393633854,-1032.5007222490744,1107.9994693487631,-0.01941692474156298,-0.1938872961150082,7,false,0.01773900815066574,0.01773900815066574,true
63,true,0.770803297996474,-1041.8957686742176,1130.3917470185486,0.5538179783056876,0.7452188522065626,6,false,0.03244668418266046,0.03244668418266046,true
31,true,0.3985049191143898,-1045.2592822449913,1147.1123261045082,1.2051938632221209,2.111090722481549,5,false,0.03087064839154706,0.03087064839154706,true
127,true,0.9907373871769916,-1034.7801218250747,1131.805570443317,0.05763870727673748,-0.2650601003374504,7,false,0.010058348102321965,0.010058348102321965,true
127,true,0.9996581973614933,-1030.7520424326335,1130.6622483107903,-0.6393560837173027,-1.0483696848555155,6,false,0.018148068689234322,0.018148068689234322,true
63,true,0.9279647877435879,-1024.1275474750166,1115.851453274129,-0.1650003798886246,0.8315417235655786,6,false,0.03325603551543244,0.03325603551543244,true
5,true,0.004925396367868958,-1024.1275474750166,1100.7055093321353,0.0,3191.9431951382003,2,true,0.04932574004468179,0.04932574004468179,true
255,true,0.996950565387259,-1034.6029649398965,1119.670451046957,0.0019939430799240654,0.009962207312582905,8,false,0.00555913496923957,0.00555913496923957,true
127,true,0.9848840163851248,-1015.0739939088253,1107.5598866074104,0.02847044397412901,0.07346426060871636,7,false,0.01006184551205506,0.01006184551205506,true
63,true,0.9260198438645914,-1000.4706387063237,1084.620175377627,0.14981223934523769,-0.8202059619632109,6,false,0.017447060918242014,0.017447060918242014,true
63,true,0.015951550305584514,-999.5022462116716,1080.1148037766116,-1.754493881804592,121.31926569417169,6,false,0.0255495982390389,0.0255495982390389,true
511,true,0.9927882756581689,-993.9562659217288,1092.1414169550142,0.006861405438712609,0.014791964475080022,9,false,0.00320370284549024,0.00320370284549024,true
255,true,0.997206187214006,-993.8535903293841,1078.1688091751519,0.00040417021455141366,-0.020349694214473857,8,false,0.005649840368014659,0.005649840368014659,true
127,true,0.8747307947724305,-999.2390832188429,1082.106726176375,-0.061823900900890294,0.3836969805367971,7,false,0.009988584777690906,0.009988584777690906,true
127,true,0.8649863912310315,-999.4606819429086,1095.7471299462575,0.23412049735793516,0.3804307756340677,7,false,0.012680360000369796,0.012680360000369796,true
127,true,0.9512344033705953,-979.3298002928904,1072.4164879204227,-0.6518369020836872,-0.9377254097091736,7,false,0.015632849714885398,0.015632849714885398,true
7,true,1.347481778667892e-7,-979.3298002928904,1073.0723293188012,0.0,1190.7124966444694,2,true,0.02401210525069743,0.02401210525069743,true
511,true,0.999862200549865,-996.9413897454273,1076.1054781906726,-0.006235757283093335,-0.013768638305009517,9,false,0.003182794826250025,0.003182794826250025,true
255,true,0.9940721274936962,-999.22368714025,1082.3635842077301,0.01752426366238069,0.019038124901726405,8,false,0.005563281723767455,0.005563281723767455,true
127,true,0.9767888314781488,-1008.1227378413837,1087.381307502442,-0.0044653199222466355,0.08496416850312016,7,false,0.009500859192031147,0.009500859192031147,true
127,true,0.998321754044936,-1020.0008836634856,1100.2325828334494,0.010624631901919201,-0.11138410711760116,7,false,0.01541041438210689,0.01541041438210689,true
63,true,0.26947459543421326,-1000.0391025813925,1103.7243761624823,-0.3529715782042331,28.51498420557823,6,false,0.026182862506199254,0.026182862506199254,true
255,true,0.9886725210859372,-1008.6186498119469,1099.8268413568665,0.009791955670380048,0.024087882706226083,8,false,0.007270171944395771,0.007270171944395771,true
127,true,0.8128407979893103,-1029.5652331087547,1108.1926510470673,0.1320979082638587,0.33992699924874614,7,false,0.012032198516620072,0.012032198516620072,true
127,true,0.9857456386548692,-1016.7231896175016,1107.427308735551,-0.014405239617190091,0.06626422871568138,7,false,0.012873229580998732,0.012873229580998732,true
63,true,0.9608575435389326,-998.0524946250833,1093.387200423173,0.009693708261465872,0.174066523740521,6,false,0.02091395816948915,0.02091395816948915,true
31,true,0.006642241309554069,-998.0524946250833,1078.105784469151,0.0,466.82576142103517,5,false,0.03178288643893999,0.03178288643893999,true
255,true,0.9936595100815506,-1016.246981356192,1100.9718458910463,0.006230387868981779,0.01518629400879945,8,false,0.004913101875210505,0.004913101875210505,true
255,true,0.9592589918887999,-1024.4726282174659,1116.8164289240242,0.02209746250355238,0.11021779738234727,8,false,0.008101654627846382,0.008101654627846382,true
127,true,0.9219851939656034,-1023.3367255702452,1116.825852875069,-0.14148242253531862,-0.3472961769152789,7,false,0.012234535394301454,0.012234535394301454,true
127,true,0.9995696618393243,-1046.7436058131923,1126.307870110885,-0.043691724481504934,-0.20541516394155224,7,false,0.01683658099516883,0.01683658099516883,true
63,true,0.8441849136024631,-1029.1751759894287,1123.070197444034,0.05990106345120694,0.9998992015828208,6,false,0.027632199360936853,0.027632199360936853,true
63,true,0.9430047372180193,-1020.6180324519039,1109.9976229087083,-0.01697511884412961,-0.736293210332633,6,false,0.031460748301585746,0.031460748301585746,true
3,true,0.008823231736237084,-1020.6180324519039,1109.16986587018,0.0,1808.695073758034,1,true,0.0448639559804215,0.0448639559804215,true
255,true,0.9935824156979515,-1017.0522058618064,1111.5746907498074,0.024953054755314952,-0.05571052484469874,8,false,0.007554943140276109,0.007554943140276109,true
127,true,0.9977668935295617,-1040.1674792868232,1125.0523323407383,-0.03211517444765377,-0.17526259439750902,7,false,0.012133704063901893,0.012133704063901893,true
255,true,0.9513163210799944,-1030.0758532467073,1132.8875339424017,-0.027185992989643637,0.19415870735338103,7,false,0.019554058175543905,0.019554058175543905,true
63,true,1.0,-1031.999910342631,1111.6417137763653,-0.08698590060726019,-0.4761846224630517,6,false,0.028229085543340512,0.028229085543340512,true
31,true,0.04985816773676265,-1026.9899040786336,1124.0930818050006,0.2595530256612619,118.19740929596514,5,false,0.045211065624230294,0.045211065624230294,true
127,true,0.969661807302535,-1026.4607177323085,1125.3424902513582,0.0025667843540304602,0.07486400413927186,7,false,0.008791553472073407,0.008791553472073407,true
127,true,0.9816599727390568,-1001.8790626926925,1100.9040812979993,-0.10830586418546773,-0.2304697201648196,7,false,0.013185171600287262,0.013185171600287262,true
63,true,0.9511976016496587,-1004.3005391742305,1083.2416482632943,0.05615884617077427,0.2549625949327492,6,false,0.020201273523955274,0.020201273523955274,true
31,true,0.9831667351193476,-998.171992264002,1085.7931798878553,-0.04628786503076299,-0.41445431858801385,5,false,0.028820355873204147,0.028820355873204147,true
7,true,0.29028057177563316,-997.7281677953388,1098.7750887209982,-0.7270010302704577,1064.0467392415208,2,true,0.04387519104957818,0.04387519104957818,true
63,true,0.8338336156327713,-1011.4292383266336,1097.2464130349567,0.2644839692597998,0.3558264903078907,6,false,0.014985518495267592,0.014985518495267592,true
63,true,0.9424225309580022,-1014.1444531852918,1103.8423523938754,-0.1226868655155613,-0.3040203374748671,6,false,0.016556885547738886,0.016556885547738886,true
63,true,0.7605068994037816,-1021.9381104606503,1109.6790628388123,0.204758215453694,0.7061467641331092,6,false,0.023015093835960704,0.023015093835960704,true
63,true,0.9811685150864277,-1017.0996744298811,1102.6314778802052,0.005427996728258222,-0.40167587261430526,6,false,0.02169573897830129,0.02169573897830129,true
31,true,0.9857512385824531,-1009.9265424955265,1113.568271523965,-0.4459239027391959,-0.5605586981462238,5,false,0.032545652513085305,0.032545652513085305,true
